"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"WASP-3 b","223","F7V","18 34 32","+35 39 42","10.64",
"WASP-4 b","300","G7V","23 34 15","-42 03 41","12.6",
"WASP-5 b","297","G4V","23 57 24","-41 16 38","12.26",
"WASP-6 b","307","G8",,,"12.4",
"WASP-7 b","140","F5V","20 44 10","-39 13 31","9.51",
"WASP-8 b","49","G6",,,"9.9",
"XO-1 b","200","G1V","16 02 12","+28 10 11","11.3",
"XO-2 b","149","K0V","07 48 07","+50 13 33","11.18",
"XO-3 b","260","F5V","04 21 53","+57 49 01","9.8",
"XO-4 b","293","F5V","07 21 33","+58 16 05","10.7",
